assembly_accession,organism_name,infraspecific_name,new_genus,new_species,new_strain,label
GCA_003210345.1,Synechococcus sp. AG-686-C21,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_003210335.1,Synechococcus sp. AG-686-D09,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_007571215.1,Synechococcus sp. PNGco_C_binVS15,,,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g__s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g__s_
GCA_007571085.1,Synechococcus sp. PNGco_S_binSS4,,,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g__s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g__s_
GCA_011365345.1,Synechococcus sp. HB1133,HB1133,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_008807075.1,Synechococcus sp. RSCCF101,RSCCF101,,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g__s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g__s_
GCA_004212765.1,Synechococcus sp. MED-G133,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_004211895.1,Synechococcus sp. MED-G134,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_900473965.1,Synechococcus sp. UW179A,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_008386235.1,Thermosynechococcus sp. CL-1,CL-1,Thermosynechococcus,Cyanobacteriia,o_Thermosynechococcales_f_Thermosynechococcaceae_g_Thermosynechococcus_s_,c_Cyanobacteriia_o_Thermosynechococcales_f_Thermosynechococcaceae_g_Thermosynechococcus_s_
